,Z,N,M_ex,Esh,alpha2,alpha4,alpha6,S_Z0N1,S_Z0N2,S_Z1N0,S_Z2N0,exist
2917,67,117,-9.18,-0.36,0.082,-0.036,0.001,3.401,8.282,11.268999999999998,24.828,True
2918,67,118,-5.97,-0.68,0.073,-0.031,0.001,4.861,8.262,11.268999999999998,25.247999999999998,True
2919,67,119,-1.18,-0.99,0.065,-0.033,0.004,3.2809999999999997,8.142,11.669,25.598,True
2920,67,120,2.2,-1.42,0.048,-0.015,0.0,4.691,7.9719999999999995,11.658999999999999,25.997999999999998,True
2921,67,121,6.94,-2.02,0.037,-0.008,-0.005,3.3309999999999995,8.021999999999998,12.079,26.418,True
2922,67,122,10.45,-2.57,0.033,-0.012,-0.001,4.561000000000001,7.8919999999999995,12.089,26.868,True
2923,67,123,15.44,-3.18,0.026,-0.012,0.001,3.0809999999999995,7.6419999999999995,12.519000000000002,27.287999999999997,True
2924,67,124,19.21,-3.71,0.019,-0.012,0.002,4.300999999999998,7.381999999999998,12.559,27.748,True
2925,67,125,24.43,-4.32,0.01,-0.005,0.0,2.851000000000001,7.151999999999999,12.969,28.148,True
2926,67,126,28.4,-4.91,0.003,0.0,0.0,4.101000000000001,6.952000000000002,12.959000000000001,28.568,True
2927,67,127,35.71,-3.65,0.009,0.005,0.0,0.7609999999999975,4.861999999999998,13.389000000000001,28.968,True
2928,67,128,41.59,-2.56,0.019,0.016,0.004,2.190999999999997,2.9519999999999946,13.438999999999998,29.438,True
2929,67,129,48.71,-1.72,0.03,0.028,0.013,0.9510000000000023,3.1419999999999995,13.838999999999997,29.958000000000002,True
2930,67,130,54.55,-0.9,0.036,0.029,0.006,2.2310000000000034,3.1820000000000057,13.849000000000002,30.368000000000006,True
2931,67,131,61.78,-0.16,0.042,0.024,0.002,0.8409999999999958,3.071999999999999,14.088999999999997,30.638,True
2932,67,132,67.29,0.1,0.053,0.044,0.012,2.5609999999999946,3.4019999999999904,14.318999999999987,31.277999999999988,True
2933,67,133,74.28,0.39,0.062,0.049,0.013,1.0810000000000048,3.6419999999999995,14.728999999999997,31.688,True
2934,67,134,80.03,0.68,0.071,0.058,0.017,2.3209999999999997,3.4020000000000046,14.679,32.018,True
2935,67,135,87.07,0.8,0.078,0.056,0.014,1.0310000000000077,3.3520000000000074,15.139000000000008,32.44800000000001,True
2936,67,136,92.91,0.97,0.09,0.06,0.012,2.2309999999999963,3.262000000000004,15.029000000000009,32.69800000000001,True
2937,67,137,100.08,1.02,0.097,0.063,0.002,0.900999999999998,3.1319999999999943,15.429,33.05800000000001,True
2938,67,138,105.89,0.95,0.104,0.057,0.0,2.2609999999999975,3.1619999999999955,15.429,33.488,True
2939,67,139,113.13,0.88,0.115,0.052,-0.002,0.8310000000000048,3.0920000000000023,15.789,33.837999999999994,True
2940,67,140,119.04,0.71,0.111,0.058,-0.009,2.160999999999989,2.9919999999999938,15.808999999999996,34.30800000000001,True
2941,67,141,126.36,0.53,0.12,0.052,-0.016,0.7510000000000066,2.9119999999999955,16.248999999999995,34.85799999999999,True
2942,67,142,132.41,0.3,0.126,0.046,-0.016,2.0210000000000026,2.772000000000009,16.328999999999994,35.47800000000001,True
